,title,company,skills
94,استخدام توسعه‌دهنده Front-end,Aseman Express,"['JavaScript', 'React', 'Redux', 'Tailwind CSS']"
95,استخدام برنامه‌نویس .NET,فناوران طلوع شبکه,"['SQL', 'ASP.NET MVC', 'Angular', 'ASP.NET Core', 'T-SQL']"
96,استخدام Senior Android Developer,Raika Research,"['Android', 'Kotlin']"
97,استخدام Senior iOS Developer,Raika Research,"['iOS', 'Swift']"
98,استخدام Senior Front-end Developer (React),Raika Research,"['JavaScript', 'React']"
99,استخدام برنامه‌نویس PHP,کارگاه نوآوری بیت هشتم,"['PHP', 'ffmpeg', 'MySQL', 'HTML5', 'CSS3']"
100,استخدام برنامه‌نویس زبان C-ویندوز,داده افزار آرمان,"['C', 'Windows', 'API']"
101,استخدام Senior Back-end Developer (Python),Raika Research,"['Python', 'Django', 'Linux']"
102,استخدام توسعه‌دهنده Front-end,میاره,"['React', 'TypeScript']"
103,استخدام مدرس برنامه‌نویسی پایتون,آکادمی یاسان,['Python']
104,استخدام توسعه‌دهنده بک اند (Back-end),شتابدهنده تریگ آپ,"['PHP', 'Laravel', 'MySQL', 'Regex', 'REST']"
105,استخدام Django Internship (Remote or Hybrid),شاپینو,"['Django', 'Python']"
106,استخدام توسعه‌دهنده Full Stack,ارقام نگار اندیشه,"['C#', 'ASP.NET', 'OOP']"
107,استخدام React Native Developer (رشت),NilaSoft,"['React Native', 'Redux', 'React', 'TypeScript', 'Git']"
108,استخدام توسعه‌دهنده اندروید,سانا گستر سبز,"['Java', 'Kotlin', 'Git', 'OOP', 'Android SDK Tools']"
109,استخدام طراح UI/UX,Dosma,"['UI/UX', 'Designer', 'JavaScript', 'HTML', 'CSS']"
110,استخدام کارآموز برنامه‌نویس Back-end,کارآفرینی سرمایه پرداز نارون,"['Python', 'Django', 'Kubernetes', 'Containers']"
111,استخدام کارشناس شبکه,پژوهشگاه توسعه فناوری‌های پیشرفته,['Lan']
112,استخدام طراح رابط کاربری (Ui Designer) - رشت,NilaSoft,"['Figma', 'Prototype', 'Wireframing', 'Adobe XD', 'User Flow']"
113,استخدام DevOps Engineer,کارنامه,['DevOps']
114,استخدام Jira Administrator,کارنامه,['Jira']
115,استخدام توسعه‌دهنده جونیور Back-end (Django),میاره,"['Python', 'Django']"
116,استخدام توسعه‌دهنده Back-end,دید استودیو,"['PHP', 'Python', 'Java', 'SQL', 'WordPress']"
117,استخدام توسعه‌دهنده فرانت- اند,کارآفرینی سرمایه پرداز نارون,"['JavaScript', 'HTML']"
118,استخدام Django Internship (Remote or Hybrid),ابرکلاس,"['Django', 'Python']"
119,استخدام Python Developer,سبدگردان نوویرا,"['Python', 'FastAPI', 'PostgreSQL', 'Git', 'Gitlab']"
120,استخدام برنامه‌نویس Go Lang,هوشمند سازان هستی,"['Go', 'SQL', 'Linux']"
121,استخدام تحلیلگر داده,مرکز نوآوری و توسعه هوش مصنوعی,"['Database', 'MySQL', 'NoSQL', 'Artificial Intelligence', 'Big Data']"
122,استخدام Kotlin Developer,داده کاوان,"['Java', 'Kotlin Android Extensions', 'Android Livedata']"
123,استخدام برنامه‌نویس Front - End,رایورز,"['JavaScript', 'Angular', 'HTML', 'CSS', 'Git']"
124,استخدام کارشناس تست نرم افزار,Podro,"['Quality Assurance', 'User Experience']"
125,استخدام Front-end Deveoper (Vue.js),وانا استودیو,"['Vue.js', 'HTML', 'CSS', 'Nuxt.js', 'Nuxt']"
126,استخدام کارآموز بوت‌کمپ پایتون-جنگو,مپصا اچ آر,"['Python', 'Django']"
127,استخدام کارآموز Back-end (Go),آرکپچا,"['Go', 'Back-end']"
128,استخدام Senior Flutter Developer,Black-Bit,"['Flutter', 'Front-end']"
129,استخدام برنامه‌نویس ارشد، علاقه مند به Rust,نآد,"['Git', 'Rust', 'C++', 'TDD']"
130,استخدام برنامه‌نویس PHP مسلط به لاراول,آداک فن آوری مانیا,"['Laravel', 'JavaScript', 'PHP', 'jQuery']"
131,استخدام برنامه‌نویس Node.js,آواکتان,"['Node.js', 'TypeScript', 'MySQL', 'Express', 'Prisma']"
132,استخدام توسعه‌دهنده جاوا,کاریابی بین المللی مهرکام,"['Java', 'Spring Boot', 'REST', 'GraphQL', 'DevOps']"
133,استخدام طراح سایت وردپرس,afagh nasim danesh,"['WordPress', 'HTML', 'CSS', 'Elementor']"
134,استخدام Java Developer,داده پردازان ارتباط گستر ویونا,"['Java', 'Spring', 'Hibernate', 'REST', 'SOAP']"
